êÁñ{ç˜,çïÇ§Ç≥P,7,154,,
0,-6,3,3,32,1
0,-2,-3,1,1,1
0,6,3,1,1,1
0,2,-3,1,1,1
0,-6,-3,1,1,1
0,-2,3,1,1,1
0,6,-3,1,1,1
0,2,3,1,1,1
0,-2,3,1,1,1
0,-6,-3,1,1,1
0,2,3,1,1,1
0,6,-3,1,1,1
0,-6,3,1,1,1
0,-2,1,1,1,1
0,-6,-1,1,1,1
0,-2,-3,1,1,1
0,6,3,1,1,1
0,2,1,1,1,1
0,6,-1,1,1,1
0,2,-3,1,1,1
0,-4,-3,1,1,1
0,4,-1,1,1,1
0,-4,1,1,1,1
0,4,3,1,1,1
0,4,-3,1,1,1
0,-4,-1,1,1,1
0,4,1,1,1,1
0,-4,3,1,1,1
0,-6,3,1,1,1
0,-4,1,1,2,1
0,-2,-1,1,2,1
0,-4,-3,1,2,1
0,6,3,1,2,1
0,4,1,1,2,1
0,2,-1,1,2,1
0,4,-3,1,2,1
0,6,-3,1,2,1
0,4,-1,1,2,1
0,2,1,1,2,1
0,4,3,1,2,1
0,-6,-3,1,2,1
0,-4,-1,1,2,1
0,-2,1,1,2,1
0,-4,3,1,2,1
0,6,3,1,2,1
0,2,1,1,2,1
0,6,-1,1,2,1
0,2,-3,1,2,1
0,-6,3,1,2,1
0,-2,1,1,2,1
0,-6,-1,1,2,1
0,-2,-3,1,2,1
0,-6,-3,1,2,1
0,-4,-1,1,2,1
0,-2,1,1,2,1
0,0,3,1,2,1
0,6,-3,1,2,1
0,4,-1,1,2,1
0,2,1,1,2,1
0,0,3,1,2,1
0,4,-3,1,2,1
0,-4,-1,1,1,1
0,4,1,1,1,1
0,-4,3,1,1,1
0,-4,-3,1,1,1
0,4,-1,1,1,1
0,-4,1,1,1,1
0,4,3,1,1,1
0,0,0,1,1,1
0,6,-3,4,1,1
0,2,1,1,1,1
0,-6,-3,1,1,1
0,-2,1,1,1,1
0,-6,3,1,1,1
0,-2,1,1,2,1
0,-6,-1,1,2,1
0,-2,-3,1,2,1
0,6,3,1,2,1
0,2,1,1,2,1
0,6,-1,1,2,1
0,2,-3,1,2,1
0,6,-3,1,2,1
0,4,-1,1,2,1
0,2,1,1,2,1
0,0,3,1,2,1
0,-6,-3,1,2,1
0,-4,-1,1,2,1
0,-2,1,1,2,1
0,0,3,1,2,1
0,6,-3,1,2,1
0,2,3,1,1,1
0,-6,-3,1,1,1
0,-6,3,1,1,1
0,2,3,1,1,1
0,6,-3,1,1,1
0,-2,3,1,1,1
0,-6,-3,1,1,1
0,0,0,1,1,1
