êÁñ{ç˜,çïÇ§Ç≥P,23,154,,
0,7,-3,3,32,1
0,5,-1,1,8,1
0,3,0,1,16,1
0,3,1,1,8,1
0,5,3,1,16,1
0,-7,-3,1,8,1
0,-5,-1,1,8,1
0,-3,0,1,16,1
0,-3,1,1,8,1
0,-5,3,1,16,1
0,7,-3,1,8,1
0,5,-1,1,8,1
0,3,0,1,16,1
0,3,1,1,8,1
0,5,3,1,16,1
0,-7,2,1,8,1
0,-6,1,1,64,1
0,-5,0,1,64,1
0,-4,-1,1,64,1
0,-3,-2,1,64,1
0,7,2,3,16,1
0,6,1,1,64,1
0,5,0,1,64,1
0,4,-1,1,64,1
0,3,-2,1,64,1
0,-7,-3,3,16,1
0,-5,-1,1,8,1
0,-3,0,1,16,1
0,-3,1,1,8,1
0,-5,3,1,16,1
0,7,-3,1,8,1
0,5,-1,1,8,1
0,3,0,1,16,1
0,3,1,1,8,1
0,5,3,1,16,1
0,7,2,1,8,1
0,6,1,1,64,1
0,5,0,1,64,1
0,4,-1,1,64,1
0,3,-2,1,64,1
0,-7,2,3,16,1
0,-6,1,1,64,1
0,-5,0,1,64,1
0,-4,-1,1,64,1
0,-3,-2,1,64,1
0,5,-3,3,16,1
0,1,-2,1,16,1
0,3,-1,1,16,1
0,-1,0,1,16,1
0,1,1,1,16,1
0,-3,2,1,16,1
0,-1,3,1,16,1
0,-5,4,1,16,1
0,-6,-4,1,16,1
0,-6,-3,1,8,1
0,-6,-2,1,96,1
0,-6,-1,1,96,1
0,-6,0,1,96,1
0,-6,1,1,96,1
0,-6,2,1,96,1
0,-6,3,1,96,1
0,-3,3,1,16,1
0,-1,1,1,16,1
0,1,-1,1,16,1
0,3,-3,1,16,1
0,6,-4,1,16,1
0,6,-3,1,8,1
0,6,-2,1,96,1
0,6,-1,1,96,1
0,6,0,1,96,1
0,6,1,1,96,1
0,6,2,1,96,1
0,6,3,1,96,1
0,3,3,1,16,1
0,1,1,1,16,1
0,-1,-1,1,16,1
0,-3,-3,1,16,1
0,-6,-4,1,16,1
0,-6,-3,1,8,1
0,-6,-2,1,96,1
0,-6,-1,1,96,1
0,-6,0,1,96,1
0,-6,1,1,96,1
0,-6,2,1,96,1
0,-6,3,1,96,1
0,-3,3,1,16,1
0,-1,1,1,16,1
0,1,-1,1,16,1
0,3,-3,1,16,1
0,0,-1,1,16,1
0,6,1.5,1,8,1
0,2,0.5,1,24,1
0,-2,-0.5,1,24,1
