Re:End of a Dream,もりもりあつし,10,212,1,
0,4,1,0,8,1
0,-4,1,7,8,1
0,-4,-1,9,8,1
0,4,-1,7,8,1
0,4,3,9,8,1
0,-4,3,7,8,1
0,-4,-3,9,8,1
0,4,-3,7,8,1
0,-6,3,9,8,1
0,-2,1,1,1,1
0,2,-1,1,1,1
0,6,-3,1,1,1
0,6,3,1,1,1
0,2,1,1,1,1
0,-2,-1,1,1,1
0,-6 ,-3,1,1,1
0,6,0,1,1,1
0,4,0,1,1,1
0,2,0,1,1,1
0,0,0,1,1,1
0,-6,0,1,1,1
0,-4,0,1,1,1
0,-2,0,1,1,1
0,0,0,1,1,1
0,-4,2,1,1,1
0,4,2,1,1,1
0,-4,-2,1,1,1
0,4,-2,1,1,1
0,4,2,1,1,1
0,-4,2,1,1,1
0,4,-2,1,1,1
0,-4,-2,1,1,1
0,-4,0,1,1,1
0,-2,0,1,1,1
0,4,0,1,1,1
0,2,0,1,1,1
0,-2,0,1,1,1
0,-4,0,1,1,1
0,2,0,1,1,1
0,4,0,1,1,1
0,-5,-3,1,1,1
0,5,-1.5,1,1,1
0,-5,1.5,1,1,1
0,5,3,1,1,1
0,5,-3,1,1,1
0,-5,-1.5,1,1,1
0,5,1.5,1,1,1
0,-5,3,1,1,1
0,0,-3,1,1,1
0,-5,-1.5,1,1,1
0,0,1.5,1,1,1
0,5,3,1,1,1
0,0,-3,1,1,1
0,5,-1.5,1,1,1
0,0,1.5,1,1,1
0,-5,3,1,1,1
0,2,3,1,1,1
0,2,1,1,2,1
0,5,-1,1,2,1
0,2,-3,1,2,1
0,-2,3,1,2,1
0,-2,1,1,2,1
0,-5,-1,1,2,1
0,-2,-3,1,2,1
0,-2,-3,1,2,1
0,-5,-1,1,2,1
0,-5,1,1,2,1
0,-2,3,1,2,1
0,2,-3,1,2,1
0,5,-1,1,2,1
0,5,1,1,2,1
0,2,3,1,2,1
0,3,-1.5,1,2,1
0,3,1.5,1,2,1
0,6,1.5,1,2,1
0,6,-1.5,1,2,1
0,-3,-1.5,1,2,1
0,-3,1.5,1,2,1
0,-6,1.5,1,2,1
0,-6,-1.5,1,2,1
0,-6,-3,1,2,1
0,-2,-1,1,2,1
0,2,1,1,2,1
0,6,3,1,2,1
0,6,-3,1,2,1
0,2,-1,1,2,1
0,-2,1,1,2,1
0,-6,3,1,2,1
0,-4,3,1,2,1
0,-4,-1,1,1,1
0,-4,1,1,1,1
0,-4,-3,1,1,1
0,4,3,1,1,1
0,4,-1,1,1,1
0,4,1,1,1,1
0,4,-3,1,1,1
0,0,0,1,1,1
0,2,-3,4,1,1
0,5,-1,1,2,1
0,5,1,1,2,1
0,2,3,1,2,1
0,-2,-3,1,2,1
0,-5,-1,1,2,1
0,-5,1,1,2,1
0,-2,3,1,2,1
0,-3,-1.5,1,2,1
0,-3,1.5,1,2,1
0,-6,1.5,1,2,1
0,-6,-1.5,1,2,1
0,3,-1.5,1,2,1
0,3,1.5,1,2,1
0,6,1.5,1,2,1
0,6,-1.5,1,2,1
0,6,-3,1,2,1
0,2,-1,1,2,1
0,-2,1,1,2,1
0,-6,3,1,2,1
0,-6,-3,1,2,1
0,-2,-1,1,2,1
0,2,1,1,2,1
0,6,3,1,2,1
0,0,0,1,2,1
0,-6,-3,2,1,1
0,-2,-1,1,2,1
0,2,1,1,2,1
0,6,3,1,2,1
0,6,-3,1,2,1
0,2,1,1,1,1
0,-2,-1,1,1,1
0,-6,-3,1,1,1
0,-6,3,1,1,1
0,-2,1,1,1,1
0,2,-1,1,1,1
0,6,-3,1,1,1
0,4,-3,1,1,1
0,-4,-1.33,1,2,1
0,4,1.33,1,2,1
0,-4,3,1,2,1
0,-4,-3,1,2,1
0,4,-1.33,1,2,1
0,-4,1.33,1,2,1
0,4,3,1,2,1
0,-2,0,1,2,1
0,2,0,1,1,1
0,0,3,1,1,1
0,0,1,1,2,1
0,0,-1,1,2,1
0,0,-3,1,2,1
0,-4,1,1,2,1
0,4,1,7,8,1
0,4,-1,9,8,1
0,-4,-1,7,8,1
0,6,3,9,8,1
0,-6,3,7,8,1
0,-6,-3,9,8,1
0,6,-3,7,8,1
